,accountantId,cohort,total,m,count_org
679,B4DDF858,7,35.0,7,34
680,B4DDF858,7,35.0,9,1
681,B53FCCC5,8,150.0,9,188
682,B59E8FC8,4,80.0,7,29
683,B628C856,8,80.0,8,95
684,B628C856,8,80.0,9,6
685,B649C4C9,5,60.0,5,43
686,B649C4C9,5,60.0,6,1
687,B66FF352,8,40.0,8,1
688,B6A2793D,5,130.0,6,108
689,B6A2793D,5,130.0,8,1
690,B6A2793D,5,130.0,9,1
691,B72546AC,7,120.0,7,1
692,B72546AC,7,120.0,8,86
693,B7A2BFAC,8,180.0,8,184
694,B7A2BFAC,8,180.0,9,2
695,B7A898C7,8,180.0,8,206
696,B7CBB7C9,1,50.0,2,43
697,B7CBB7C9,1,50.0,3,1
698,B7CBB7C9,1,50.0,4,2
699,B7CC7C2A,8,150.0,8,241
700,B7CC7C2A,8,150.0,9,1
701,B7F63FA7,8,400.0,8,673
702,B7F63FA7,8,400.0,9,5
703,B942444A,8,50.0,8,48
704,B942444A,8,50.0,9,96
705,B96A285A,7,50.0,7,2
706,B96A285A,7,50.0,8,48
707,BA89ACCA,7,180.0,7,165
708,BA89ACCA,7,180.0,9,4
709,BAA954DA,7,40.0,7,44
710,BAA954DA,7,40.0,8,1
711,BBC9F7C9,4,20.0,8,2
712,BC2E84AC,6,160.0,7,116
713,BC2E84AC,6,160.0,8,1
714,BC88AA4C,8,30.0,8,1
715,BC88AA4C,8,30.0,9,25
716,BDBA2EDF,5,180.0,6,163
717,BDBC553C,4,50.0,4,71
718,BDBC553C,4,50.0,8,1
719,BDE97876,8,40.0,8,43
720,BEAA77D3,7,90.0,7,83
721,BEAA77D3,7,90.0,8,1
722,BEAD964C,6,45.0,6,46
723,BF8345DC,6,25.0,6,10
724,BF8345DC,6,25.0,7,6
725,BFA6235A,8,150.0,8,95
726,BFC84A5C,6,50.0,7,50
727,BFC84A5C,6,50.0,9,1
728,C22CAC72,8,30.0,8,77
729,C22CAC72,8,30.0,9,2
730,C22F2AC8,8,20.0,8,26
731,C23ADB2A,8,160.0,8,176
732,C23ADB2A,8,160.0,9,13
733,C23C947B,8,100.0,8,82
734,C23C947B,8,100.0,9,49
735,C249D9E5,8,56.0,8,62
736,C249D9E5,8,56.0,9,3
737,C29873E5,8,50.0,9,1
738,C2A53C3E,4,100.0,7,42
739,C2A53C3E,4,100.0,8,54
740,C2A53C3E,4,100.0,9,28
741,C2A5E33A,6,85.0,6,57
742,C2AB284F,5,550.0,6,470
743,C2AB284F,5,550.0,7,12
744,C2CC75B7,8,45.0,8,57
745,C2D255A3,2,60.0,3,68
746,C2D255A3,2,60.0,5,2
747,C2D255A3,2,60.0,7,4
748,C2D255A3,2,60.0,8,3
749,C2D255A3,2,60.0,9,1
750,C3252468,8,120.0,8,133
751,C37AFAC2,7,70.0,7,32
752,C38FEBA5,8,20.0,8,18
753,C3B7AEDA,8,380.0,8,340
754,C3B7AEDA,8,380.0,9,25
755,C3BD35CD,2,200.0,2,173
756,C3BD35CD,2,200.0,5,14
757,C3BD35CD,2,200.0,8,2
758,C3BD35CD,2,200.0,9,84
759,C3CC87D7,6,50.0,6,45
760,C3CC87D7,6,50.0,7,11
761,C3CC87D7,6,50.0,8,5
762,C3CC87D7,6,50.0,9,3
763,C3D6EDCA,5,70.0,5,66
764,C3D6EDCA,5,70.0,6,1
765,C3FD8A96,4,50.0,4,28
766,C3FD8A96,4,50.0,6,1
767,C3FD8A96,4,50.0,7,1
768,C456AAB4,4,60.0,5,71
769,C4BEF3EB,5,100.0,5,76
770,C58EC7A9,6,250.0,6,270
771,C58EC7A9,6,250.0,7,14
772,C5A62274,8,130.0,9,360
773,C5FCA74F,5,250.0,5,1
774,C5FCA74F,5,250.0,6,312
775,C5FCA74F,5,250.0,7,1
776,C5FCA74F,5,250.0,8,7
777,C5FCFC5F,7,50.0,7,31
778,C5FCFC5F,7,50.0,8,15
779,C5FCFC5F,7,50.0,9,12
780,C68C5C5A,6,80.0,7,55
781,C68C5C5A,6,80.0,8,2
782,C6927A75,8,30.0,9,34
783,C6A477CB,6,50.0,6,49
784,C6CFD3C7,8,40.0,8,8
785,C6CFD3C7,8,40.0,9,36
786,C754FA54,8,60.0,8,98
787,C754FA54,8,60.0,9,1
788,C795C97A,7,100.0,7,79
789,C795C97A,7,100.0,8,2
790,C795C97A,7,100.0,9,5
791,C7C226FF,2,90.0,2,107
792,C7C226FF,2,90.0,3,1
793,C84AAF92,6,30.0,6,16
794,C84AAF92,6,30.0,7,1
795,C84AAF92,6,30.0,9,12
796,C8884A7A,7,90.0,7,97
797,C8884A7A,7,90.0,9,1
798,C8A48B7B,6,50.0,6,37
799,C8D7ADF3,8,200.0,8,16
800,C8D7ADF3,8,200.0,9,129
801,C93FFFB5,8,120.0,8,19
802,C9794485,6,100.0,6,92
803,C9794485,6,100.0,8,17
804,C99E2FB4,8,150.0,8,145
805,CA3236ED,6,200.0,6,6
806,CA3236ED,6,200.0,7,4
807,CA3236ED,6,200.0,8,169
808,CA3236ED,6,200.0,9,1
809,CA3F7978,8,50.0,8,45
810,CA5A7495,8,150.0,8,140
811,CA5A7495,8,150.0,9,44
812,CA5D6AC6,8,150.0,8,140
813,CA6C5C2A,8,30.0,8,1
814,CA6C5C2A,8,30.0,9,51
815,CA75FCC6,8,90.0,8,77
816,CA75FCC6,8,90.0,9,5
817,CA82F3C3,8,,8,89
818,CA9B5AA4,8,100.0,8,96
819,CACC434B,8,100.0,8,102
820,CADA75CE,8,100.0,8,195
821,CADA75CE,8,100.0,9,54
822,CAE934E5,8,30.0,8,14
823,CAF43937,8,150.0,8,1
824,CAF43937,8,150.0,9,150
825,CAF5D9C9,7,40.0,7,45
826,CAF5D9C9,7,40.0,8,2
827,CAF5D9C9,7,40.0,9,1
828,CAF9BCEE,8,50.0,8,97
829,CB44765B,8,50.0,9,72
830,CB5CF7F3,7,160.0,8,253
831,CB5E445C,8,80.0,8,65
832,CB5E445C,8,80.0,9,6
833,CBC6FDC5,8,40.0,8,28
834,CC24EFB6,8,100.0,8,95
835,CC67E6A6,6,20.0,7,14
836,CC67E6A6,6,20.0,8,1
837,CC6A5DA3,7,60.0,7,20
838,CC6A5DA3,7,60.0,8,2
839,CC6A5DA3,7,60.0,9,3
840,CC6AACD6,8,300.0,8,209
841,CCA4A4FF,8,200.0,9,199
842,CCA878EC,2,50.0,7,48
843,CCA878EC,2,50.0,8,1
844,CCA9C6BC,9,50.0,9,34
845,CCACFFF8,7,100.0,7,29
846,CCACFFF8,7,100.0,8,38
847,CCACFFF8,7,100.0,9,8
848,CCCF3EA6,7,40.0,7,33
849,CCCF3EA6,7,40.0,8,7
850,CD46B35C,4,70.0,5,64
851,CD46B35C,4,70.0,6,1
852,CD46B35C,4,70.0,7,1
853,CD46B35C,4,70.0,9,11
854,CD57CF5A,8,30.0,9,2
855,CD8427C2,6,300.0,6,250
856,CD8427C2,6,300.0,7,75
857,CD8427C2,6,300.0,8,30
858,CD8427C2,6,300.0,9,2
859,CD943ACE,8,40.0,8,42
860,CD9F3DEF,7,100.0,7,103
861,CDBC3A52,8,60.0,8,85
862,CDC8856C,7,100.0,8,92
863,CDC8AA58,7,240.0,7,172
864,CDD659E3,7,50.0,7,1
865,CDD659E3,7,50.0,8,42
866,CDD659E3,7,50.0,9,1
867,CDE57C32,8,45.0,8,81
868,CDE57C32,8,45.0,9,17
869,CECF6C3A,5,60.0,6,80
870,CED2DEDF,9,100.0,8,1
871,CED2DEDF,9,100.0,9,91
872,CF5CDC33,8,50.0,8,48
873,CFB3CAAC,8,50.0,8,44
874,CFB3CAAC,8,50.0,9,2
875,CFC4BACB,12,100.0,2,65
876,CFC4BACB,12,100.0,3,1
877,CFC4BACB,12,100.0,4,1
878,D24367DE,8,40.0,9,21
879,D26ACAA7,4,40.0,5,20
880,D26ACAA7,4,40.0,9,10
881,D2AA8CA4,4,70.0,4,53
882,D2AA8CA4,4,70.0,7,2
883,D2AA8CA4,4,70.0,8,3
884,D2CC8B5A,7,70.0,7,1
885,D2CC8B5A,7,70.0,8,48
886,D3399A6C,8,60.0,8,94
